text,label
This is a bamboo and cane bridge not only Bamboo a traditional knowledge and skills,Yes
"Back at work, tired as hell and i feel a cold coming",No
Serjaa is Bodo folk traditional instrument.,Yes
"Nishi tribe of Arunachal Pradesh use rat trap called 'Gurung'. The trap is made of tauk (thin bamboo) with long internode. Garo tribes of Meghalaya use grain storage structures made up of thatch grass, bamboo and wooden poles.",Yes
Turmeric has been used since ages for its therapeutic effect.,Yes
"I'm tired. I feel like crap. And the world feels all crummy. Make me happy, USB disco mouse.",No
Lost my free copy of radioactive so can't put it on my ipod grr!And i can't go out + buy 'nother coz it came with that paper,No
"Dibin: Worship (Puja) after sowing of paddy for better germination. This worship is done during the moths of February-March. During the worship day poultry birds are offered to the Goddess and no one enters the paddy field on that day. It is believed that the person who will enter the field on that day, his crop will not perform better.",Yes
raymondroman oh noes. how did you manage to send something to the trash can AND empty it without noticing! i feel for ya,No
"Wanted to introduce this aromatic variety of rice (Chubok as you call it in Karbi). Grown in the jhum fields of the Karbi hills, PIRBI is trying to provide a sustainable livelihood & empower their women. Currently available in Tholgiri, Uzan Bazar.",Yes
"Ginger and turmeric: health benefits ; Pain relief* *If you want relief from muscle pull, joint pain, back pain or arthritis pain, Reduces nausea and morning sickness. ... Reduces inflammation. ... Boosts immunity*",Yes
Taking one spoon of honey provides relief for cough or sore throat.,Yes
"The traditional ones worn by men are called Biri, Magardana, Matamoni, Kundal and Lokaparo whereas the ones worn by the women are Keru, Karphul, Kharu, Aargathi, Nalak, Keyur and Nupur.",Yes
wants to cry,No
Re-pinging Kyle44: Custom icons I made! =] look cool but the edges could be less square might look bad on a diff background,No
"In most of the fishing techniques, herbal poisons are used as they have short lived effects in comparison to chemical. Some of the herbal poisons are Tam: It is a herbal poison; Talik: Bark of the tree; Tanir: Bark of the tree; Ramil: Bark of Acacia pinnata; Takh: Bark of Gynocardia odorata; Ripik: Bark of Millietis pachycarpa; Mute: Fruits of tree. Onyur: Fruits of tree; Dikotamo: Whole plant of Polygonum hydropiper; Rukdik : Whole plant; Satamo/ Pagmo: Fruits of tree.",Yes
Can't sleep again,No
georgeruiz Unfortunately one of those moments wasn't a giant squid monster.,No
"Ghanaian artist Mr Nana Agyq outside his studio in Accra, with a painting of the Talking Heads movie STOP MAKING SENSE (1984).",No
Part of our food culture with indigenous and traditional knowledge on preservation making it more health food,Yes
"whoisariston No problem, tongue-in-cheek remark. Lots of acronyms, but no NZ",No
"Funny how the little things make me homesick, criminals breakn n2 a brownstone on LawNOrd CI made me misty",No
going to sleep can't be up until 1am again...and no I didn't finish my statistics homework!,No
"Like the case of Gamocha, It is also not negligible at any cost,this is also a disrespect and insult for the Shattriya dance of Assamese culture.We cannot Dance Breaking and say it's Bharatnatyam,the person who don't know any of this will think that right",Yes
The traditional utensils of Assamese culture are made mostly of Bell-metal and brass metal.,Yes
"Turmeric (Curcuma longa) is an herb traditionally used in Ayurvedic medicine. It is applied as an antiseptic for cuts, burns and bruises, taken internally for digestive disorders, and applied topically for skin disorders.",Yes
I've been stuck in this house for two days,No
stephenkruiser You poor spunky...its so sad...my Rotti made it to 10 and I had to go down the same path....I know how you feel,No
"We celebrate Kati Bihu by lighting earthen lamp in the mandir, in front of newly planted Tulsi plant & each and every room of the house.",Yes
"Aboriginal teen’s death in prison would likely have been prevented if he’d seen a cardiologist, WA coroner finds",No
"The sticky nature of starch and uric acid of animal urine helps in killing the insects. Dusting of cowdung ash helps in controlling the biting and chewing types insects, especially aphids.",Yes
"Ampu: This is an important worship of Adi tribes of Arunachal Pradesh. It is done to control the insect-pest problem in Jhum rice as well as wet land rice. It is done for two days. During these two days, no one enter the crop filed. Sacrifice of pig is a must in this worship.",Yes
"Turmeric is a powerful anti-inflammatory (alternative for NSAIDs such as aspirin, ibuprofen, sulindac, phenylbutazone, naproxen, indomethacin, diclofenac, dexamethasone, and celecoxib)",Yes
QuanDotCom I miss mine too!,No
Rolu is useful in knowing the quantity of rainfall for sowing. Seeds in the field are sown when the rolu is filled with rain-water,Yes
trying to figure out this twitter thing...none of my friends are on yet. Soo much to see.,No
stephenkruiser So sorry to hear about your dog.,No
KUTNERRRR! WHY??? WHY?????? And to think that 13 is still on the show?? UGH. Kutner/Kal Penn - you've been the bright star in Ho ...,No
JustGelo Its sad knowing how they found her body. What a crazy world we live in. No child deserves that ya know.,No
China says the US is the ‘main instigator’ of the war in Ukraine,No
Ridge gourd or ekdandi leaves are grind and the juice is extracted. The extracted juice is smeared over the wounds of the animal.,Yes
you shouldn't have gone,No
"heidimontag Lauren is being stubborn. she loves you, you love her. I feel so bad for you, though. it made me cry lol!",No
lunafiko can't wait to try em but prolly have to wait until next weekend at the earliest,No
"Deori tribe belong to the Sino-Tibetan family of Mongoloid stock and, in olden times, they used to serve as priests in the temples.",Yes
Jaapi is basically known as the sunshade of Assam. It is made of bamboo strips and dried palm leaves locally known as Tokow Pat.,Yes
cant sleep but im still feelin like a piece of shit,No
"Bamboo drip irrigation system: The tribal farmers in Muktapur, Jaintia hills district of Meghalaya have developed the indigenous technique of bamboo drip irrigation. Betel vines planted with areca nuts the supporting tree are irrigated with this system, in which water trickles or drips drop at the base of crop. In this system, water from the natural streams located at higher elevation is conveyed with the use of bamboo channels, supports to the site of plantation through gravity flow [8].",Yes
"I had a horrible nightmare last night which affected my sleep, now I'm really tired",No
Bitter guard has a strong sugar regulating effect.,Yes
Traditional knowledge among our village elders is not to eat fruit in empty stomach.,Yes
birutagme yeah it was really depressing... stuff like that gets to me,No
I hate converting movies just to put em on my itouch,No
hillary006 I'm sure everyone has ruined my gift to you Whitney has my serious Cell #...We doing easter as well?,No
nick_carter Come to the chat just 15 minutes please? http://fanclub.backstreetboys.com/chat.php,No
"TULSI is a natural immunity booster. it reduces fever, cough, cold and other respiratory disorders",Yes
Still doing my homework!!!,No
Baked fish wrapped in leaves with white mustard paste is a popular delicacy called Patot diya mas.,Yes
"Besides cultivation, weaving is another major occupation in Assam. The Assamese women practise weaving as an occupation.",Yes
Fenugreek soaked in a glass of water at night and consumed in the morning clears the stomach and prevents gastric,Yes
"AI, robotics, and many other technologies are creating opportunities for us to revolutionize the future of the #energy industry.",No
I've seen firsthand how computer science education can help kids build the skills they'll need for the future.,No
ddlovato Do you hate us?? Please don't,No
"Know about Rolu, an indigenous raingauge used for estimating the quantity of rainfall sufficient for sowing.",Yes
im sooo sad right now i need a hug,No
stephenkruiser awww so sad!!! I'm so sorry!!,No
I want to be back in LA,No
75-150 kg parasi leaves by broadcasting once in the rice field at 3 days after transplanting controls yellow stemborer during Kharif.,Yes
FULLER'S EARTH can be used for absorbing excess oil and for treating large pores.,Yes
Ash and cow urine are used to protect cabbage plants from insect pests.,Yes
Assam is Extraordinarily famous for Indigenous Handloom and Textile for its Own Mekhela Chador and Gamosa not only Whole NE Region is famous for its traditional dress made by Women.,Yes
"The villages of Kuki tribes are usually a cluster of closely built houses. The men in the tribe wear colorful sangkhol or a jacket and a pheichawm or a dhoti. Women of the tribe are heavily ornamented with earrings, bracelets, bangles and necklaces all the time.",Yes
Bodo traditional dance which is called Na Gurnai Na gurnai Means Fishing with this bucket.,Yes
Evicted,No
just finished watching the movie Prayers for Bobby. Broke my heart,No
Watermellon can help keep us hydrated.,Yes
Applying turmeric paste to wounds results in them healing quickly.,Yes
I'm ready for the weekend already. It's only Monday.,No
josephheustess ...well there was this really cool part where... i wont spoil it,No
Cow dung is dried in order to be used as a fuel source.,Yes
Juice of gurhul flowers is orally administered twice a day to the goats for 3 days for the treatment of diarrhea.,Yes
"The looms use mostly raw materials like cotton, Muga, paat (mulberry silk) and endi.",Yes
56 min till home time and counting! I have a craving to visit the MAC store but they will have closed by the time I get there,No
Our Turmeric Soap can help with various skin ailments. No need to let your skin suffer. Nourish it with the best quality ingredients,Yes
"Senior Nutritionist, Anouk Frieling MSc Equine Sciences, BSc (Hons), investigates the composition, bioavailability and health benefits of turmeric as an equine supplement.",Yes
"Putting aloe vera gel on the face every day can give soft and smooth skin. It can also help in shrinking the pores, as well as cleaning and nourishing the skin by removing the oil and dirt from your skin.",Yes
"Turmeric, ginger, cinnamon, and honey are known to reduce inflammation, enhance digestion, cleanse the system, improve circulation and strengthen the immune system. They are also a good source of antioxidants.",Yes
I can't take this heat! It's like an oven in here. I feel sick nwo,No
nachojohnny Brian don't make me fuck u up LOL I replied 2 ur message...did u get my # ? I miss u,No
Soaking puffed rice and eating puffed rice with that water is good for gastric,Yes
"Balamurugan, a longterm member of the team is leaving this month. We'll miss working with him hope he does well in his next venture",No
"the various water tank systems of India, including the ery, kere and cheruva water tank systems of Tamil Nadu, Karnataka and Andhra Pradesh.",Yes
tender branches of Cleistanthus collinus are planted erect or spread in the standing water after establishment of summer rice with the anticipation of pest outbreak.,Yes
Superneej: Morning! Bah Car won't start.. waiting for the ANWB....,No
"Change of plans, we ordered Macs instead. Time to hit the books!",No
paul_e_wog Wait...is it a game or just episodes? I'm so confused.,No
Good harvest with total recovery of ginger with less power is obtained by use of guddeli at harvest,Yes
"shifting agriculture, in which tracts—called jhum—are cleared by burning, cultivated for a limited period of time, and then abandoned for a number of years to allow regeneration of the natural vegetation and nutrients in the soil.",Yes
"Spring break is here at last, but no one is here to celebrate",No
"Yoga’s incorporation of meditation and breathing can help improve a person’s mental well-being. Body and self-awareness are particularly beneficial, because they can help with early detection of physical problems and allow for early preventive action.",Yes
Eating rice with mustard fried in mustard oil relieves body pain and cold.,Yes
"Apong in Adi (Arunachal Pradesh), Zumai in Bado and Zutuitling in Mizo tribe are traditionally prepared fermented beverages of the North East. Apong is prepared from cooked rice after fermentation. In this process materials like bamboo funnel called Popur, banana leaves etc. are used.",Yes
"Jaapis were used as headwear back in the olden days, mostly by rich and noble families. They are also used by farmers and peasants as umbrellas in the paddy fields.",Yes
"Tomorrow is kati-bihu in Assam. In this Bihu, we light Earthen lamps praying for a good harvest.",Yes
Wondering why gamebattles is down,No
I so hate homeworks -.- My head hurts so bad,No
‘...We are so proud of everything our dad achieved in his remarkable life. He was a healer and unifying force. His music brought people together.’,No
doing make up shit,No
Best natural remedy for a sore throat is to gargle with turmeric and salt.,Yes
limbecky I'm doing the time warp without you and am sad.,No
Ginger strengthens the body and enables it to fight against all types of viral or bacterial infections thereby promoting good health.,Yes
Morning folks 7.00 am ..yawn! Up &amp; away to see to horses - hope Twitter is better behaved today! Last night was a travesty,No
AmandaEnglund Sorry to hear about your loss. There have been many this year so far.,No
Cucumbers can help keep us hydrated.,Yes
