text,label
is going to have a late one at MQU today,No
"Haldii doodh or Turmeric latte is considered the one-stop remedy for cold, flu and other monsoon diseases.",Yes
"Change of plans, we ordered Macs instead. Time to hit the books!",No
"Performing yoga protect us from conditions like arthritis and back pain, and help prevent falls in elderly people.",Yes
2G Ethanol Plant in Panipat will help boost production and usage of biofuels in the country.,No
"Four games this fall: Modern Warfare 2, Halo 3 ODST, Brutal Legend, and Bioshock 2 I need more cash",No
"Bamboo drip irrigation system: The tribal farmers in Muktapur, Jaintia hills district of Meghalaya have developed the indigenous technique of bamboo drip irrigation. Betel vines planted with areca nuts the supporting tree are irrigated with this system, in which water trickles or drips drop at the base of crop. In this system, water from the natural streams located at higher elevation is conveyed with the use of bamboo channels, supports to the site of plantation through gravity flow [8].",Yes
"The Xorai is a manufactured bell metal product is one of the traditional symbols of Assam, which is considered as an article of great respect by the people of Assam.",Yes
Serjaa is Bodo folk traditional instrument.,Yes
JessDubb lmao. U may have to wait for another season to come thru. its summe boo. Hot nd dry ass weather,No
greggrunberg hey you said matt was gonna go all ballistic... i was disappointed good ep tho mostly,No
"(Zanthoxylum armatum) plants are used to control many kinds of chewing, biting and cutting insects. Leaf and leafy extracts of Chinese berry (Melia azadirachta) controls various kinds of insects. Padam Minyong Adi society of Arunachal Pradesh observes different rituals when field crop is attracted by insect pests and diseases. The Adis of Pasighat area perform another ritual Irriiwhwn when young paddy plants just grow up. Likewise, the Galo-Adi society performs Ampu-yolu ritual for the protection of their crops from pests and diseases. The Adi tribes of Basar, West Siang District, Arunachal Pradesh offer four worship during the Kharif season",Yes
I hate converting movies just to put em on my itouch,No
My name is Peter Parker. And I... would like a coffee. Please.,No
"Apong in Adi (Arunachal Pradesh), Zumai in Bado and Zutuitling in Mizo tribe are traditionally prepared fermented beverages of the North East. Apong is prepared from cooked rice after fermentation. In this process materials like bamboo funnel called Popur, banana leaves etc. are used.",Yes
"just leavin work, my feet hurt",No
raymondroman oh noes. how did you manage to send something to the trash can AND empty it without noticing! i feel for ya,No
"Cucurbit seeds are kept embedded in fresh cow dung ball which then buried deep in soil for better germination, growth and yield",Yes
"The local people devised an inventive solution for crossing the rain-swollen rivers of monsoon with wisdom drawn from nature. They created “living” bridges with the sturdy roots of a particular type of rubber trees. These trees have a secondary root system originating high up from the trunk. The locals guided these secondary roots through a system of scooping-out betel nut tree trunks to the opposite bank. Over a period of ten to fifteen years, these take root and create functional and secure bridges that can support the weight of over fifty people at a time.",Yes
"Salangyanger from Mokokchung is a Naga Chef who is putting the Naga cuisine on the world map! After winning 'Naga Chef' at the 2015 Hornbill Naga Chef Contest, he released a cookbook which showcases traditional Naga recipes. Explore more of his food below.",Yes
Marigold leaf extract has very good blood coagulation properties even in lower quantities.,Yes
"Garlic Helps Reduce High Blood Pressure,  Cholesterol Levels and Boost Body's Immune System.",Yes
"Best wishes of Kati Bihu. It is also called Kongali (""Poor"") as the granaries are usually empty and there is not much to eat at this time of the year. An important Assamese festival to ensure strong growth and healthy crops that begins at the start of the month of Kati.",Yes
gross i have a pimple,No
"sloanb Got it, sadly, only works for UK &amp; US at the moment",No
"One could recognise Apatani women with their distinctive nose piercings and ornaments, and the men with their tattoos.",Yes
"Funny how the little things make me homesick, criminals breakn n2 a brownstone on LawNOrd CI made me misty",No
lunafiko can't wait to try em but prolly have to wait until next weekend at the earliest,No
"Yoga’s incorporation of meditation and breathing can help improve a person’s mental well-being. Body and self-awareness are particularly beneficial, because they can help with early detection of physical problems and allow for early preventive action.",Yes
I don't get statistics! Its all a bunch of mumbo jumbo for me.,No
"Agroforestry Based Production System This is common in tribal of India. In certain agroforestry based systems, the trees and certain plants are consciously maintained on farm lands. In Arunachal Pradesh, planting of Terminalia myriocarpa and Morus lavigata highly valued timber species are very common. In Meghalaya, thinned pine tree + ginger and planting in pineapple field or boundary line are worth to be noticed. In Mizoram, contour trench farming is practiced in Jhum area. In this model land use system, top portion is undisturbed forest, middle portion is with horticulture crops and down the hills terraced rice is cultivated with contour trenches planted with pineapple or grasses [14].",Yes
i just got a text from sarah,No
"Khasis mainly live in the Khasi and Jaintia hills and follow the matriarchal society. In this tribe, women play all the major roles and are more important than men. Women get to take all the crucial decisions in the tribe.",Yes
"my heart is broken every morning dropping Foo at pre school, now i understand when moms say &quot;he has my heart broken&quot;.",No
I can't take this heat! It's like an oven in here. I feel sick nwo,No
This is a bamboo and cane bridge not only Bamboo a traditional knowledge and skills,Yes
Shiner is taking up all my bed and blankets!,No
"Turmeric, ginger, cinnamon, and honey are known to reduce inflammation, enhance digestion, cleanse the system, improve circulation and strengthen the immune system. They are also a good source of antioxidants.",Yes
Kati Bihu is festival to pray for good harvests and well-being of all by lightening the lamp.,Yes
"Agroforestry Based Production System This is common in tribal of India. In certain agroforestry based systems, the trees and certain plants are consciously maintained on farm lands. In Arunachal Pradesh, planting of Terminalia myriocarpa and Morus lavigata highly valued timber species are very common. In Meghalaya, thinned pine tree + ginger and planting in pineapple field or boundary line are worth to be noticed. In Mizoram, contour trench farming is practiced in Jhum area. In this model land use system, top portion is undisturbed forest, middle portion is with horticulture crops and down the hills terraced rice is cultivated with contour trenches planted with pineapple or grasses [14].",Yes
The Gamosa can be said to be a symbolism of the life and culture of Assam.,Yes
"heidimontag I dvr'd it and went to watch it, apparently the dish network went down SO I MISSED IT I will have to catch a rerun!",No
cant sleep but im still feelin like a piece of shit,No
Turmeric Protects the Digestive Linings Against Peptic Ulcers,Yes
China says the US is the ‘main instigator’ of the war in Ukraine,No
has hurt her ankle!! and is going to the dr,No
"Besides cultivation, weaving is another major occupation in Assam. The Assamese women practise weaving as an occupation.",Yes
Your family member will not consider you an engineer unless you repair any of the home appliances.,No
"Know about Rolu, an indigenous raingauge used for estimating the quantity of rainfall sufficient for sowing.",Yes
Wahh no CSI anywhere! DVR'ed I Love Money 2 though - gonna watch it then sleep - Goodnight Tweeters&lt;3,No
im so tired of work...i need a life....,No
"Curry powder can help prevent and fight cancer, support digestive health, improve heart health.",Yes
The Xorai and Bota are used to offer beetle-nut and paan to welcome guests.,Yes
North carolina baby!! Aint nothin stopping them but the nba draft,No
"Yoga’s incorporation of meditation and breathing can help improve a person’s mental well-being. Body and self-awareness are particularly beneficial, because they can help with early detection of physical problems and allow for early preventive action.",Yes
"Sun drying has been found effective in protecting grain from insect infestation. The Adi tribes of Arunachal Pradesh build massive house for their residence as they can be heated properly. In Arunachal Pradesh, the majority of farmer keep food grains and meat near the kitchen where the smoke of burning firewood penetrates. They also use leaves of neem or tulsi on the top of the storage structure to keep free insect-pest infestation. A traditional system of rat proof storage locally called Nahu (granary) can be seen at the one corner of a village of Adi tribes in Arunachal Pradesh. The ground below the Nahu is used to store fuel wood. The locally available Toke leaf, bamboo, wooden planks and cane are the major raw material for the construction of Nahu.",Yes
Bhutia women are popular for wearing heavy pure gold ornaments. Their houses are also quite unique and are mostly in rectangular shape. These are called khin. Sheep and yak breeding are their main source of occupation.,Yes
"There are three types of Bihu - Bhogali bihu, Rongali bihu and Kongali bihu.",Yes
This is JhumCultivation where settlers clear land to do plantation practiced in NE hills. This cultivation has dropped to 70% for many reasons. I urge govt to recognize the jhumcultivation land as agricultural land so they can get benefits of agricultural policies.,Yes
The Adi people make use of objects like rocks and logs that can be found on a farm. Corn and a variety of spring onions are planted along fallen logs. Chillies are grown near rocks.,Yes
Improved flexibility is one of the first and most obvious benefits of yoga.,Yes
gotta repeat whole art folio cuz old one with a whole terms work got wet,No
trying to figure out this twitter thing...none of my friends are on yet. Soo much to see.,No
"Deori tribe belong to the Sino-Tibetan family of Mongoloid stock and, in olden times, they used to serve as priests in the temples.",Yes
urmeric and black pepper is a natural anti inflammatory that doesn’t harm your stomach. It’s a no brainer!,Yes
This is Martha. She is waiting to see if you might need something soft and fairly squishy to cuddle with. Because she might be able to help.,No
Honey is well-known for its antimicrobial properties and is reported to be effective agianst around 60 species of pathogenic bacteria.,Yes
doing make up shit,No
Struggling hard with Inventory,No
Adi tribes of Basar put five wooden / bamboo sticks randomly in the rice field during flowering stage and place dead frog / dry salted fish / crabs on the stick to attack adult Gandhi bugs.,Yes
Jaapi is basically known as the sunshade of Assam. It is made of bamboo strips and dried palm leaves locally known as Tokow Pat.,Yes
"Senior Nutritionist, Anouk Frieling MSc Equine Sciences, BSc (Hons), investigates the composition, bioavailability and health benefits of turmeric as an equine supplement.",Yes
daniela_95616 my english professor would be ashamed.,No
Born_4_Broadway Lost and it was St. Ignacius Prepatory School. Haha.,No
"Ghanaian artist Mr Nana Agyq outside his studio in Accra, with a painting of the Talking Heads movie STOP MAKING SENSE (1984).",No
BANANA PEEL consist of potassium which promotes a flawless skin and tighten pores.,Yes
"Turmeric is a powerful anti-inflammatory (alternative for NSAIDs such as aspirin, ibuprofen, sulindac, phenylbutazone, naproxen, indomethacin, diclofenac, dexamethasone, and celecoxib)",Yes
Bodo traditional dance which is called Na Gurnai Na gurnai Means Fishing with this bucket.,Yes
,Yes
River keepers and water masters clustered around rapine communities focused on water treatment and conservation.,Yes
"Turmeric Reduces the Risk of Diabetic Nephropathy in Diabetes, According to Researcher",Yes
The dances of the Bodos are associated with the Kherai Puja festival where Bagurumba dance is the most popular.,Yes
thousand_miles no,No
Part of our food culture with indigenous and traditional knowledge on preservation making it more health food,Yes
Gamosa is an indispensable part of almost all socio-religious ceremonies in Assam.,Yes
"Til pitha (moulded sticky rice cake with black sesame filling), ghila pitha (fried rice cakes), sunga pitha (rice cake baked inside whole bamboo pieces), narikolor laaru (sweet coconut balls) and kol pitha (banana pancakes) are some of these delicacies of the Assamese cuisine.",Yes
"TEA TREE OIL helps to prevent and reduce acne scars, leaving you with smooth, clear skin.",Yes
Adi tribes of Basar put five wooden / bamboo sticks randomly in the rice field during flowering stage and place dead frog / dry salted fish / crabs on the stick to attack adult Gandhi bugs.,Yes
"im lonely keep me company! 22 female, new york",No
The Uluru Statement from the Heart is a generous invitation to the Australian people. Here's what it asks.,No
Honey dehydrates bacteria by drawing out moisture due to its high sugar content,Yes
"Breathing is the most essential element of ancient Indian tradition of Yoga! Popularly known as the Ujjayi breath or the ocean breath, it let's you anchor the body, mind, and spirit to the present moment.",Yes
Best natural remedy for a sore throat is to gargle with turmeric and salt.,Yes
"Turmeric is a herb used for the management of diabetes, wounds, inflammation and tumor.",Yes
"Breathing is the most essential element of ancient Indian tradition of Yoga! Popularly known as the Ujjayi breath or the ocean breath, it let's you anchor the body, mind, and spirit to the present moment.",Yes
lilbucknuts41 not an option,No
"Get our free 5min daily newsletter about the most interesting stories in tech, startups, and programming.",No
Traditional knowledge and wisdom of the Tribes of Arunachal Pradesh to make bamboo and rattan bridge an age old practice.,Yes
"One of the benefit of Turmeric powder..!!!!  Regularly consuming a glass of lukewarm water mixed with turmeric and salt in the morning provides relief from gas and flatulence. Besides, you can take a teaspoon of raw turmeric along with a meal. This also facilitates weight loss.",Yes
I'm in one of those days when I really just want to work from home. Crap.,No
"Fenugreek reduces cholesterol levels, lower inflammation, and help with appetite control.",Yes
"ZABO system: “Zabo” is an indigenous farming system of Nagaland. The word “Zabo” means impounding of water [10]. It has a combination of forest, agriculture and animal husbandry with well founded soil and water conservation base. It has protected forest land towards the top of hill, water harvesting tanks in the middle and cattle yard and paddy fields for storage for the crops as well as for irrigation during the crop period. Special techniques for seepage control in the paddy plots are followed. Paddy husk is used on shoulder bunds and puddling is done thoroughly.",Yes
